1;Just Chatting;1;2021;248144653;3420670 hours;2787896;8240;464702;333976;4603;72.54;https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-285x380.jpg
2;Rust;1;2021;190468488;1147089 hours;1373791;3249;91592;256350;1543;166.05;https://static-cdn.jtvnw.net/ttv-boxart/Rust-285x380.jpg
3;League of Legends;1;2021;170781975;4354400 hours;689503;11606;294795;229854;5860;39.22;https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-285x380.jpg
4;Escape From Tarkov;1;2021;110847591;1594856 hours;441410;4268;67458;149189;2146;69.5;https://static-cdn.jtvnw.net/ttv-boxart/Escape%20from%20Tarkov-285x380.jpg
5;Fortnite;1;2021;101306583;7396984 hours;997440;19348;689937;136348;9955;13.7;https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-285x380.jpg
6;Minecraft;1;2021;80076090;3591863 hours;931417;9865;443494;107774;4834;22.29;https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-285x380.jpg
7;Call of Duty: Warzone;1;2021;80057408;3304045 hours;424575;9097;225044;107748;4446;24.23;https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20Warzone-285x380.jpg
8;Grand Theft Auto V;1;2021;74060698;2032778 hours;327587;5660;185072;99677;2735;36.43;https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-285x380.jpg
9;Counter-Strike: Global Offensive;1;2021;60899705;1669538 hours;592921;4598;178120;81964;2247;36.48;https://static-cdn.jtvnw.net/ttv-boxart/Counter-Strike:%20Global%20Offensive-285x380.jpg
10;FIFA 21;1;2021;55385122;1180415 hours;837094;7733;137198;74542;1588;46.92;https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2021-285x380.jpg
11;VALORANT;1;2021;54529695;3001295 hours;227959;7100;258468;73391;4039;18.17;https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-285x380.jpg
12;World of Warcraft;1;2021;44718092;1906856 hours;146763;6800;91451;60185;2566;23.45;https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-285x380.jpg
13;Dota 2;1;2021;39545934;721543 hours;153186;1810;33400;53224;971;54.81;https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-285x380.jpg
14;Apex Legends;1;2021;36579530;2836621 hours;154317;7377;232847;49232;3817;12.9;https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-285x380.jpg
15;Among Us;1;2021;31244138;661043 hours;269117;2436;139022;42051;889;47.26;https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-285x380.jpg
16;Music;1;2021;26059223;874666 hours;139051;2873;53538;35072;1177;29.79;https://static-cdn.jtvnw.net/ttv-boxart/Music-285x380.jpg
17;Hearthstone;1;2021;24208283;203848 hours;71807;502;15518;32581;274;118.76;https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-285x380.jpg
18;Rocket League;1;2021;23152587;1395752 hours;147234;3824;293877;31160;1878;16.59;https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-285x380.jpg
19;Path of Exile;1;2021;21259181;360277 hours;295628;4123;16957;28612;484;59.01;https://static-cdn.jtvnw.net/ttv-boxart/Path%20of%20Exile-285x380.jpg
20;Dead by Daylight;1;2021;20368547;1164712 hours;70745;2752;94512;27413;1567;17.49;https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-285x380.jpg
21;Chess;1;2021;18345889;103462 hours;152923;342;15850;24691;139;177.32;https://static-cdn.jtvnw.net/ttv-boxart/Chess-285x380.jpg
22;Slots;1;2021;18089830;109076 hours;65621;281;5223;24347;146;165.85;https://static-cdn.jtvnw.net/ttv-boxart/Slots-285x380.jpg
23;Tom Clancy's Rainbow Six Siege;1;2021;17494442;1270903 hours;106881;3415;148541;23545;1710;13.77;https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20Rainbow%20Six%20Siege-285x380.jpg
24;Overwatch;1;2021;15430328;945335 hours;61609;2069;94343;20767;1272;16.32;https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-285x380.jpg
25;Genshin Impact;1;2021;12813745;611069 hours;108838;2100;59438;17245;822;20.97;https://static-cdn.jtvnw.net/ttv-boxart/Genshin%20Impact-285x380.jpg
26;Teamfight Tactics;1;2021;12435507;305854 hours;67083;1300;36735;16736;411;40.66;https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-285x380.jpg
27;PLAYERUNKNOWN'S BATTLEGROUNDS;1;2021;11953142;718778 hours;157160;1521;46576;16087;967;16.63;https://static-cdn.jtvnw.net/ttv-boxart/PUBG:%20BATTLEGROUNDS-285x380.jpg
28;Call of Duty: Black Ops Cold War;1;2021;11680099;1420521 hours;83962;4166;153514;15720;1911;8.22;https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20Black%20Ops%20Cold%20War-285x380.jpg
29;Call Of Duty: Modern Warfare;1;2021;11218009;4948200 hours;41712;13547;362233;15098;6659;2.27;https://static-cdn.jtvnw.net/ttv-boxart/Call%20Of%20Duty:%20Modern%20Warfare-285x380.jpg
30;Art;1;2021;10348738;640927 hours;38255;1381;62346;13928;862;16.15;https://static-cdn.jtvnw.net/ttv-boxart/Art-285x380.jpg
31;Garena Free Fire;1;2021;9916285;291370 hours;73508;771;26400;13346;392;34.03;https://static-cdn.jtvnw.net/ttv-boxart/Garena%20Free%20Fire-285x380.jpg
32;SMITE;1;2021;7767850;259115 hours;97040;873;20972;10454;348;29.98;https://static-cdn.jtvnw.net/ttv-boxart/SMITE-285x380.jpg
33;Mario Kart 8;1;2021;7738485;61811 hours;156188;340;11713;10415;83;125.2;https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-285x380.jpg
34;Poker;1;2021;7674703;101079 hours;62257;373;5675;10329;136;75.93;https://static-cdn.jtvnw.net/ttv-boxart/Poker-285x380.jpg
35;Stardew Valley;1;2021;7548952;316734 hours;42766;767;37286;10160;426;23.83;https://static-cdn.jtvnw.net/ttv-boxart/Stardew%20Valley-285x380.jpg
36;Eternal Return: Black Survival;1;2021;7062779;155076 hours;73707;430;12573;9505;208;45.54;https://static-cdn.jtvnw.net/ttv-boxart/Eternal%20Return-285x380.jpg
37;Bloons TD 6;1;2021;6791171;76607 hours;70898;235;13867;9140;103;88.65;https://static-cdn.jtvnw.net/ttv-boxart/Bloons%20TD%206-285x380.jpg
38;Sports;1;2021;6790120;55826 hours;147178;194;6803;9138;75;121.63;https://static-cdn.jtvnw.net/ttv-boxart/Sports-285x380.jpg
39;Talk Shows & Podcasts;1;2021;6649443;162573 hours;98387;498;15929;8949;218;40.9;https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-285x380.jpg
40;Destiny 2;1;2021;6369404;614106 hours;22283;1826;46462;8572;826;10.37;https://static-cdn.jtvnw.net/ttv-boxart/Destiny%202-285x380.jpg
41;ASMR;1;2021;6235768;101334 hours;18382;190;4501;8392;136;61.54;https://static-cdn.jtvnw.net/ttv-boxart/ASMR-285x380.jpg
42;World of Tanks;1;2021;6234773;210941 hours;36501;672;12220;8391;283;29.56;https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Tanks-285x380.jpg
43;NBA 2K21;1;2021;5951306;620744 hours;38259;1840;55995;8009;835;9.59;https://static-cdn.jtvnw.net/ttv-boxart/NBA%202K21-285x380.jpg
44;HITMAN 3;1;2021;5699993;74232 hours;202902;909;11193;7671;99;76.79;https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-285x380.jpg
45;Phasmophobia;1;2021;5523702;588735 hours;66599;1901;103416;7434;792;9.38;https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-285x380.jpg
46;Sea of Thieves;1;2021;5265966;475480 hours;62563;1582;49740;7087;639;11.08;https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-285x380.jpg
47;DayZ;1;2021;4805164;282908 hours;65761;682;20551;6467;380;16.98;https://static-cdn.jtvnw.net/ttv-boxart/DayZ-285x380.jpg
48;Old School RuneScape;1;2021;4737942;134357 hours;15853;292;7705;6376;180;35.26;https://static-cdn.jtvnw.net/ttv-boxart/Old%20School%20RuneScape-285x380.jpg
49;Magic: The Gathering;1;2021;4633784;96536 hours;37983;449;7859;6236;129;48;https://static-cdn.jtvnw.net/ttv-boxart/Magic:%20The%20Gathering-285x380.jpg
50;Black Desert Online;1;2021;4327527;183112 hours;13036;391;9275;5824;246;23.63;https://static-cdn.jtvnw.net/ttv-boxart/Black%20Desert%20Online-285x380.jpg
1;Just Chatting;2;2021;240445690;3202966 hours;1138978;13308;444507;358339;4773;75.07;https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-285x380.jpg
2;League of Legends;2;2021;150221076;3665750 hours;703375;9687;268439;223876;5463;40.98;https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-285x380.jpg
3;Grand Theft Auto V;2;2021;137704722;2006058 hours;506815;6008;175699;205223;2989;68.64;https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-285x380.jpg
4;Fortnite;2;2021;107665720;6523956 hours;541227;18890;644071;160455;9722;16.5;https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-285x380.jpg
5;Minecraft;2;2021;82415310;3524597 hours;647145;9853;450593;122824;5252;23.38;https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-285x380.jpg
